comment_no,nicname,date,comment
85758,빅마우스,2023-07-06T14:18:00,으미. 바쁜거. 빨리빨리 보자.!
85756,빅마우스,2023-07-06T14:17:00,( 나몇회빼먹음 ) 다시 GOGO. !
85754,애나안,2023-07-06T13:53:00,안보현 🩵
85751,여름밤,2023-07-06T13:53:00,덥다
85749,여름밤,2023-07-06T13:52:00,보현님 강한이미지만 하다가 이번에 다른 연기톤 괞찬던데 머리스탈대로 얼굴도 따로 따로
85748,여름밤,2023-07-06T13:50:00,재방타임도 17:50분에 있고 ㅠㅠ
85747,여름밤,2023-07-06T13:50:00,어제는 그래도 시원하던데 오늘은 무쟈게 덥구나
85745,여름밤,2023-07-06T13:49:00,이방을 어찌할꼬 진짜 망한거야
85744,연빛,2023-07-06T12:20:00,회상씬이너무많아 루즈함 ....
85741,애나안,2023-07-06T12:09:00,1회 물고기 어항씬 지음이 그토록 만나고 싶었던 서하를 다시 만난 장면 18회차와 어린시절과 오버랩 되는 최고의 씬이었어요! 환생이란 소재가 주는 미묘한 감정선 흐믓 몽글 했어요..🩵
85740,다연,2023-07-06T11:47:00,ㅇㅇ
85739,빅마우스,2023-07-06T11:22:00,눙물이 손꾸락에게.  ( 윈.   유 )
85738,빅마우스,2023-07-06T11:09:00,혜선님이 여러분드에개…..Don’t  Cry For Me  Argentina                            …by.    마돈나.
85734,빅마우스,2023-07-06T10:45:00,이프님. 피오나님. 화이팅.  하소덜.  !!!
85733,빅마우스,2023-07-06T10:36:00,( 기냥 아름다운노래 )Goodbye  Yellow  Brick Road .                               ….by.   엘튼죤.   ..
85732,조용한 미소,2023-07-06T10:01:00,너무 오랜만에 설레이고 눈물이나는 작품인듯^^
85731,죽음의 느티나무,2023-07-06T09:34:00,힘들면 계좌보내라 대신 극단적인건 하지말자
85730,죽음의 느티나무,2023-07-06T09:27:00,혼자 미친짓 죄송
85729,죽음의 느티나무,2023-07-06T09:27:00,진짜 웃긴건 그놈의 몹쓸 자전거는 들고 간다나
85727,죽음의 느티나무,2023-07-06T09:26:00,휴대폰 놔두고 화장실가도 최고
85726,죽음의 느티나무,2023-07-06T09:26:00,유트뷰 들가면 오국인들이 신기해 하지
85725,죽음의 느티나무,2023-07-06T09:26:00,대한민국이 좋은 이유
85723,죽음의 느티나무,2023-07-06T09:23:00,쵝오💖
85722,죽음의 느티나무,2023-07-06T09:22:00,우리나라 좋은나라
85720,죽음의 느티나무,2023-07-06T09:22:00,고맙습니다
85719,죽음의 느티나무,2023-07-06T09:22:00,치카치카하고 또 욜씨미 살께요
85718,죽음의 느티나무,2023-07-06T09:22:00,감사해요
85717,죽음의 느티나무,2023-07-06T09:21:00,빅 마우스님 정신 챙길께요
85714,죽음의 느티나무,2023-07-06T09:20:00,착하게 더 살겠습니당
85713,죽음의 느티나무,2023-07-06T09:20:00,감사해요
85712,죽음의 느티나무,2023-07-06T09:20:00,치카치카 하는중
85711,김루나,2023-07-06T09:18:00,꺅
85710,김루나,2023-07-06T09:18:00,이거 이쁘져
85709,아프란시,2023-07-06T09:18:00,이사진으로 마음의 평안을 찾겠습니다.
85708,김루나,2023-07-06T09:18:00,안구정화 타임
85706,빅마우스,2023-07-06T09:17:00,토닥토닥
85704,아프란시,2023-07-06T09:17:00,할만큼 한듯 합니다.
85701,아프란시,2023-07-06T09:17:00,"저정도 열정에 두손두발 다들었습니다.
저정도까지 하는데 저희도 더이상 상대하려면 동등해져야하는데 거기까지는 못하겠어요."
85700,김루나,2023-07-06T09:17:00,안보현 왜 캐스팅함ㅋㅋㅋㅋㅋㅋㅋ 누가 좋아한다고안녕하세요 '누'입니다
85699,빅마우스,2023-07-06T09:16:00,너네팀.   이상햐.    !
85698,죽음의 느티나무,2023-07-06T09:15:00,죄송해요 ㅜㅜ
85697,죽음의 느티나무,2023-07-06T09:15:00,들어가세요
85696,죽음의 느티나무,2023-07-06T09:15:00,아네
85695,빅마우스,2023-07-06T09:15:00,매사  이런식.  찝찝하네.  상대 말아야 겠네
85694,죽음의 느티나무,2023-07-06T09:15:00,빅마우스님 제정신 아닙니다 저좀 챙겨주셔서 고맙습니다ㅜㅜ
85693,죽음의 느티나무,2023-07-06T09:14:00,💖👍
85692,죽음의 느티나무,2023-07-06T09:14:00,고맙습니다
85691,죽음의 느티나무,2023-07-06T09:14:00,감사해요 제 생각 해주신분들도 있고
85690,죽음의 느티나무,2023-07-06T09:13:00,"아 고마워요 철없어 보여서 ㅜㅜ 
미안해요  빅마우스님 관심 감솨해요"
85689,빅마우스,2023-07-06T09:13:00,"그랴 고맙… 
너두 철 들자.  !"
85688,죽음의 느티나무,2023-07-06T09:12:00,실재보면 넌 ㅋㅋㅋ
85687,죽음의 느티나무,2023-07-06T09:12:00,알았지?
85686,죽음의 느티나무,2023-07-06T09:12:00,죽진마
85685,죽음의 느티나무,2023-07-06T09:12:00,힘들면 말하라고
85684,죽음의 느티나무,2023-07-06T09:12:00,난 맨날 유기견 유트버 기부한다
85682,하스돕돕,2023-07-06T09:11:00,좋은 하루 되시길~
85681,죽음의 느티나무,2023-07-06T09:11:00,ㅋ 귀여웃 짜식 힘들면 말해 누나는 맨날 기부만 한다니깐 헛소리 아냐 진짜야 세상에 이런 여자 보기 힘들지 힘들면 말해 대신 죽지마 알았지?
85675,빅마우스,2023-07-06T09:09:00,"그렇게 큰돈을. 가산 탕진 하는거 아녀 ?
사양할께. 난 업는사람. 등치는 스퇄 아니라서.  .."
85674,죽음의 느티나무,2023-07-06T09:09:00,이넘이 맨날 그렇게 똥싸
85673,하스돕돕,2023-07-06T09:09:00,내 전생 테스트 재밌을 듯 ~
85672,죽음의 느티나무,2023-07-06T09:09:00,다 안치으너진거 그냥 다 치우척 한적이 있어  고백합니다 미안해요 키우시는분들 아시죠?
85671,하스돕돕,2023-07-06T09:08:00,오늘도 잘 부탁해~🍀벌써 목요일
85670,죽음의 느티나무,2023-07-06T09:08:00,댕댕이 똥 나무에싸면 그것 다 안치워져 지금 솔직히 말할께
85669,죽음의 느티나무,2023-07-06T09:08:00,편안한 시대는 전생에도 글렀군요
85667,죽음의 느티나무,2023-07-06T09:07:00,난 나쁜짓을 해본적이 있다
85666,죽음의 느티나무,2023-07-06T09:07:00,머래?  삶이 힘들면 계좌보내 5만원은 입금 가능
85665,김루나,2023-07-06T09:04:00,다들 재밌게 해보세요
85664,빅마우스,2023-07-06T09:04:00,"너. 내편 아니구나. …    착각. * 워쩌 *
당황스럽네.     흠.   글닜네.  삭제도 못하고


헐.  !!!!!"
85663,김루나,2023-07-06T09:03:00,https://poomang.com/t/seizethelife1?from_detail=True
85662,김루나,2023-07-06T09:03:00,자 덕질거리 가져옴
85661,죽음의 느티나무,2023-07-06T09:02:00,담생엔 신혜선 남친이고파 💖
85660,죽음의 느티나무,2023-07-06T09:01:00,정말 감사해요
85659,죽음의 느티나무,2023-07-06T09:01:00,전 ㅈㄴ 이쁜 여자임 (현실부정 안함)
85658,죽음의 느티나무,2023-07-06T09:01:00,감사합니다 ㅠㅠ
85657,죽음의 느티나무,2023-07-06T09:00:00,고맙습니다 정말 💖
85656,아프란시,2023-07-06T08:59:00,할만큼 했음
85655,죽음의 느티나무,2023-07-06T08:59:00,아이쿠 아프란시님 싸랑해💖
85654,아프란시,2023-07-06T08:59:00,다시 리셋이니...전 그냥 다 차단후 드라마 얘기만 하겠습니다.
85653,죽음의 느티나무,2023-07-06T08:59:00,신혜선은 내사랑💖
85652,죽음의 느티나무,2023-07-06T08:59:00,내가 담생애 태어나면 키185  너의 남친이고파 신혜선 사랑해 지금 내남친키185
85651,애나안,2023-07-06T08:59:00,토닥토닥..💦 이생잘 보면서 위로 받고 힐링하세욤
85649,죽음의 느티나무,2023-07-06T08:58:00,연기 최고에요👍
85647,죽음의 느티나무,2023-07-06T08:58:00,난 신혜선님 싸랑해요❤️
85644,죽음의 느티나무,2023-07-06T08:57:00,사랑해요 신혜선 우윳빗깔 신혜선 💖💖💖💖💖
85642,빅마우스,2023-07-06T08:57:00,여기가.  …
85641,죽음의 느티나무,2023-07-06T08:57:00,신혜선 최고👍💖
85640,죽음의 느티나무,2023-07-06T08:57:00,드라마 얘기만 할께요 힝
85638,죽음의 느티나무,2023-07-06T08:56:00,지금 제가 와인 마셨고 아주 많이 울었고 저희 댕댕(유기견3)마리 있습니다 아주 이뿌게 보냈고 잘해준것 보다 못해준게 기억에 남아요 헛 소리 올려서 죄송한데 전 정말 미치도록 아파요 죄송해요 너무 너무 울어서 쌍꺼풀이 두줄 입니다 ㅜㅜ
85637,죽음의 느티나무,2023-07-06T08:49:00,죽음의 느티나무한테 관심 감상새요 ㅁㅊㅂㄷ 많네
85636,죽음의 느티나무,2023-07-06T08:47:00,개좋아
85635,죽음의 느티나무,2023-07-06T08:47:00,기분 좋아
85634,죽음의 느티나무,2023-07-06T08:47:00,ㅋㅋㅋㅋ
85633,죽음의 느티나무,2023-07-06T08:46:00,기부도 계속하고 좋은일 마니마니할께 항상 난 그대로야 알잖아 새벽에  일어나서 또 산책 시킨다 걱정하지마 난 항상 똑 같아 사랑해 울 이쁜 ㅠㅠ
85632,죽음의 느티나무,2023-07-06T08:45:00,인간보다 넌 최고였어❤️
85631,죽음의 느티나무,2023-07-06T08:43:00,울 이쁜  내사랑 내목숨보다 넌 최고였어👍💖
85630,죽음의 느티나무,2023-07-06T08:43:00,날 보고있지?  사랑해💖
85629,죽음의 느티나무,2023-07-06T08:42:00,난 13년 키운 댕댕이 보내고 이드라마가 위안 되니깟
85628,죽음의 느티나무,2023-07-06T08:41:00,그 어떤것도 너네끼리하삼
85627,죽음의 느티나무,2023-07-06T08:41:00,나한테 답글 보내지마세요난 내가 최고니깐
85626,죽음의 느티나무,2023-07-06T08:40:00,저번주 우리집 댕댕이 장례치뤄서 세상에는 많은 ㅁㅊㄴ 이 존재합니다
85625,죽음의 느티나무,2023-07-06T08:39:00,언제나 그런듯 하루쯤은 미쳐도 돼내가 죽을듯이 힘든 하루 타인은 피땀으로 돈 버니깐
85624,죽음의 느티나무,2023-07-06T08:37:00,내인생 전부라도 아깝지 않아 사랑해 우리 이쁜이들💖💖💖💖💖
85623,죽음의 느티나무,2023-07-06T08:37:00,ㄴㅓ만 너만 너만 사랑해❤️❤️❤️❤️❤️
85622,죽음의 느티나무,2023-07-06T08:36:00,사랑해💖
85621,맛없으면두번안먹음,2023-07-06T08:36:00,피부 후보정 어디서 하는지 몰라도 클로즈업샷에서 부자연스러움
85619,죽음의 느티나무,2023-07-06T08:36:00,미치도록 사랑하니깐 우린 불행해지지 않을꺼지?
85618,죽음의 느티나무,2023-07-06T08:35:00,사랑해💖
85617,죽음의 느티나무,2023-07-06T08:35:00,바다야 이번생도 잘 부탁해💖
85616,(🎀ᴗˬᴗ),2023-07-06T08:34:00,응 애쓴다 수고
85615,죽음의 느티나무,2023-07-06T08:31:00,그 유명한 내가 이쁜이다
85614,(🎀ᴗˬᴗ),2023-07-06T08:31:00,새계정도 정지묵자 ㅋㅋㅋㅋㅋ
85613,죽음의 느티나무,2023-07-06T08:30:00,신고에 의해 숨겨진 메시지입니다.
85612,죽음의 느티나무,2023-07-06T08:30:00,너도 아는구낭 내가 ㅈㄴ 이쁜거
85611,(🎀ᴗˬᴗ),2023-07-06T08:29:00,넌 다 들통나쓰 ㅋㅋㅋㅋㅋ
85610,죽음의 느티나무,2023-07-06T08:28:00,미친 드톡 초딩들 왕따놀인가?.다들 나이 쳐묵고 지네끼리 좋아요 막 눌러주는 ㅋ
85606,직장인,2023-07-06T08:08:00,"'""축 ""   정지   ㅋㅋㅋ"
85603,직장인,2023-07-06T08:04:00,스티커
85596,직장인,2023-07-06T08:03:00,모두 죤하루~~
85595,직장인,2023-07-06T08:03:00,드뎌 정지당하고 닉변했나 ㅋㅋ
85594,아프란시,2023-07-06T08:02:00,생각이 많아지는 아침입니다
85593,아프란시,2023-07-06T08:00:00,삭제된 메시지입니다.
85592,(🎀ᴗˬᴗ),2023-07-06T07:56:00,그런거 안세는게 속편해요
85591,아프란시,2023-07-06T07:55:00,대략 2일정도 평화로웠는데...
85590,아프란시,2023-07-06T07:51:00,에휴...
85589,아프란시,2023-07-06T07:50:00,아...진짜...
85588,(🎀ᴗˬᴗ),2023-07-06T07:49:00,아님 갸갸간겨?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
85587,(🎀ᴗˬᴗ),2023-07-06T07:48:00,나 너랑 대화한적 없음 니가 껴들어 시비 ㅋㅋㅋㅋ
85586,죽음의 느티나무,2023-07-06T07:47:00,신고에 의해 숨겨진 메시지입니다.
85585,(🎀ᴗˬᴗ),2023-07-06T07:47:00,ㅋㅋㅋㅋ
85584,(🎀ᴗˬᴗ),2023-07-06T07:47:00,진짜 모지리
85583,죽음의 느티나무,2023-07-06T07:47:00,시비거는거 잼나고 랜선에선 니가 최고다 싶지?  현실은 너 아니란거 알고있다 행복해라 어데서 할배할매같은것들 훈계질이야
85582,(🎀ᴗˬᴗ),2023-07-06T07:46:00,모지리 또왓네
85581,(🎀ᴗˬᴗ),2023-07-06T07:45:00,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
85580,죽음의 느티나무,2023-07-06T07:43:00,신고에 의해 숨겨진 메시지입니다.
85579,(🎀ᴗˬᴗ),2023-07-06T07:41:00,신고에 의해 숨겨진 메시지입니다.
85578,죽음의 느티나무,2023-07-06T07:41:00,죄송 찌그러질께여
85577,(🎀ᴗˬᴗ),2023-07-06T07:40:00,아 자칭 심리 거들먹 거리는 찌끄래기는 좀 꺼졌으면
85576,죽음의 느티나무,2023-07-06T07:39:00,세금은 짜증나긴 합니다
85575,죽음의 느티나무,2023-07-06T07:39:00,기부도 많이 하고 좋은일 많이 하지만
85574,죽음의 느티나무,2023-07-06T07:38:00,저도요 아프란시님 답 감솨해요
85572,아프란시,2023-07-06T07:38:00,전 그냥 죽더라도 시원하게 죽자! 라는 생걱으로 에어컨 킵니다
85571,죽음의 느티나무,2023-07-06T07:37:00,그냥 속상해서 적어봅니다 죄송
85570,죽음의 느티나무,2023-07-06T07:36:00,아 우리는 돈내면 그만이지만
85569,죽음의 느티나무,2023-07-06T07:35:00,에어컨도 계속 틀고 있으니 이번생도 30만원씩 나오겠구낭 싶어요 아
85568,죽음의 느티나무,2023-07-06T07:35:00,근데 진짜 가스비 저번 년도 여름엔 2만원인데 이번생은 8만원이 기본입니다 ㅎㅏㅎㅏㅎㅏ
85567,아프란시,2023-07-06T07:27:00,2일만 지나면 이생잘을 만나니 더없이 좋은 아침인걸요.🥰🥰🥰
85566,죽음의 느티나무,2023-07-06T07:26:00,아프란시님 정말 행복한 하루 되시고 조금 기분 나쁜게 있다면 훌훌 털어버리시고 언제나 행복하세요👍
85563,아프란시,2023-07-06T07:24:00,오늘도 좋은하루
85562,죽음의 느티나무,2023-07-06T07:22:00,아프란시님 알겠어요
85561,아프란시,2023-07-06T07:21:00,아 드라마 얘기 아님요 ㅋㅋ
85560,죽음의 느티나무,2023-07-06T07:17:00,대환장 파티는 딴데가슝
85559,죽음의 느티나무,2023-07-06T07:17:00,ㅈㄴ 잼나
85558,아프란시,2023-07-06T07:11:00,음..대환장 파티네
85557,죽음의 느티나무,2023-07-06T07:08:00,짜증나네요 진짜 잼난데 어휴
85556,호미,2023-07-06T07:07:00,졸잼 인데.....청율  왜 이럼?   남주 케스팅 때문인듯 ㅜㅠ
85555,glim,2023-07-06T06:58:00,감사합니다^^
85554,애나안,2023-07-06T06:55:00,울산 나사리 해수욕장이에요
85553,glim,2023-07-06T06:48:00,초원이네 별장있던 둘이 춤추던 바다요. 촬영지가 어디인가요?
85552,애나안,2023-07-06T06:17:00,이번생도 잘부탁해 이번방도 잘부탁해7회 이번주 기대되요~
85550,애나안,2023-07-06T06:14:00,1회를 보면 이걸 볼지말지가 결정되는데 첫회부터 이야기 영상의 색감 연출 음악 등이 풍부하고 다채로운 드라마에요. 반지음 아역의 플라멩코가 화려하고 5회의 샹송 배경음악에 맞춰 서하와 춤추는 씬은 호접지몽 꿈인지 현실인지 아름답네요. 특히 1회의 반지음 아역 배우 연기가 넘 좋았고 기억에 남아요. 18회차의 지음이 다른 환생이 아닌 19회차 서하를 만나기 위해 다시 태어나서 다행. 이번생은 서하와 함께 해피엔딩 💓
85549,내명부,2023-07-06T05:15:00,어차피 서로 똑 같은것
85548,내명부,2023-07-06T05:15:00,사람 하나 마녀사냥~으로 드라마 톡에서 즐기는일은  없기를~
85546,내명부,2023-07-06T05:10:00,신혜선님  사랑해염~~💚
85545,내명부,2023-07-06T05:10:00,이젠 전 또 가끔 관찰자~로~^^
85543,내명부,2023-07-06T05:08:00,방법 있으니까요
85542,내명부,2023-07-06T05:08:00,전  둘 해결 했구요왜. 범죄라고 하면서 드라마톡에서 외치시는지 모르겠어요~? 그걸 즐기시는게 아니면 법적으로 하세요
85541,내명부,2023-07-06T05:06:00,혹시 모르시면  내명부 오픈특 들어 오세요 상세히 알려 드릴테니
85540,내명부,2023-07-06T05:06:00,당사자님들 그 사진이나 글들 캡쳐학서 하시면되고
85539,내명부,2023-07-06T05:05:00,저도 처음엔 모르고 대응만 했다가 처리 했어요
85538,내명부,2023-07-06T05:04:00,그리고 그렇게 범죄적 사한의 억울함과 일이 있으시면 법적으로 하세요
85537,내명부,2023-07-06T05:03:00,근데 아무리 얼굴 안보이는 온라인  이라고 여럿이 문제되는 몇가지 대두하면서  마녀사냥은 아닌듯 합니다
85536,내명부,2023-07-06T05:01:00,경찰에서 범죄자의  결정적 그것을 다룰때도 왜~? 어째서?  무엇 때문에를 봐요~
85535,내명부,2023-07-06T05:00:00,이 기회에 그사람에게 감정 있는사람들이..다  달라붙는느낌
85534,내명부,2023-07-06T04:59:00,물론 잘못한 어떤것이 있는데  앞뒤가 다 잘라진걸 제가 알고 있어서 참 보기가 여러번 많이 역겨웠어요
85533,내명부,2023-07-06T04:56:00,갈길가자 하는것도 두어번  봤는데  서로 또 끄집어내고 그러다 여럿인 쪽이 대세가  된듯 합니다
85532,내명부,2023-07-06T04:54:00,부부의 세계...때 부터 시작된 앙금과 싸움이 과연 한 사람의 잘못인걸까요?
85531,기차안,2023-07-06T04:47:00,신혜선 처럼 예쁜 여성분이 저러면 안넘어 올 남자가 몇이나 될까요 그러니까 드라마인가 싶고...  입덕하고 갑니다 혜선님 ♡
85530,내명부,2023-07-06T04:46:00,관찰자 입장에서 그간 있었지만 알고 있는것들이 있어서 참 안타깝네요
85529,내명부,2023-07-06T04:43:00,부부의세계 그때부터 일이니 단순하진 않은거고~ 그들의 오랜 앙금은~ 이제 따로 자리잡고 방파서 이야기 해도 될듯요
85528,내명부,2023-07-06T04:41:00,난 누구편도 아닌 진실의 편~ 앞뒤는 빼지말고 다수가 너무 몰아 가지는 말길
85527,내명부,2023-07-06T04:40:00,그동안 똑같이  몇년간 서로 했던것들을....한사람의 잘못으로만 몰아간건 좀 아닌듯
85526,내명부,2023-07-06T04:37:00,성경도 진짜 당사자들은 또 없는듯~?^^ 부부의세계부터 시작된 앙금인데
85525,내명부,2023-07-06T04:33:00,시작점과 과정 현재에서...그냥 다수가 진실로 이끌고 가는 현상~^^
85524,내명부,2023-07-06T04:31:00,사이버심리 논문에 많은 도움이 되는~^^
85523,DOUBLE,2023-07-06T03:30:00,이름만 같은 다른 드라마
85522,shvv11,2023-07-06T03:20:00,진짜 윤초원이 찰떡이다 ㅇㅈ?
85521,피터의 상상,2023-07-06T02:59:00,3화 보고있는데.... 왠지 서하랑 엄마 둘 다 새엄마가 죽인 것 같은 느낌이....
85520,sknah65,2023-07-06T02:20:00,민기 옆에 같이 계신 여성분 서하 엄마 아닐까요?? 느낌적인 느낌이 ㅋㅋ
85519,비쥬,2023-07-06T02:17:00,남주 방금 뒷모습 자켓이 넘 커보여..... 재벌인데 옷좀 수트빨 간지나는걸로... 제발
85518,뭐,2023-07-06T01:56:00,나만 신혜선과 하윤경 배우들의 케미만 보는건가
85516,뭐,2023-07-06T01:55:00,하윤경 배우님 덕분에 드라마봐욤
85515,너의의미,2023-07-06T01:53:00,빨리6화 시작해라 보고자게
85513,블루스카이,2023-07-06T01:06:00,토요일 기다려지네요
85511,블루스카이,2023-07-06T01:06:00,나는 전생에 모였나?  진짜 궁금하네요 남자였는지 여자 였는지도 ㅋㅋ
85510,서람,2023-07-05T23:56:00,원작 안 보고 보면 진짜 재밌는 드라마.. 원작 본 사람들은 그저 아쉬움 ㅠㅠ
85509,인생19회차,2023-07-05T23:49:00,근데 드라마가 원래 우연이 많다하지만 많아도 너무 많은 느낌..
85508,인생19회차,2023-07-05T23:48:00,재밌어요.
85507,마우스,2023-07-05T23:13:00,이거 잼있음?
85506,후르츠,2023-07-05T22:38:00,안보현 배우 좋아하지만 원작 캐릭터에는 그다지 매칭이 안됨만화와 드라마는 별개로 생각해야 할 듯.그런데 그게 잘 안됨만화를 퍽 좋아해서.
85505,후르츠,2023-07-05T22:36:00,만화를 안봤으면 드라마 잼있게 봤을텐데아
85504,대수신,2023-07-05T22:33:00,이번생 본방 기다려요~^^
85497,만두,2023-07-05T22:31:00,이생님들 방가~^^👋👋
85495,만두,2023-07-05T22:11:00,단발머리 남주 엄마 환생인가요? 원작엔 없던 캐릭터 같은데
85494,곧은나무,2023-07-05T22:04:00,트랄랄라브라더스 시작하네요 잼나던데 다녀와요
85493,여름밤,2023-07-05T22:04:00,삭제된 메시지입니다.
85491,wow3j,2023-07-05T21:52:00,저랑 춤 추실래요 https://youtu.be/CnL56e3ElwI
85489,wow3j,2023-07-05T21:49:00,섹시해서 ㅎ
85486,wow3j,2023-07-05T21:46:00,초원이 재수팅 언제 만나나 보네
85484,wow3j,2023-07-05T21:46:00,나름 잘 어울려 고딩도
85482,wow3j,2023-07-05T21:45:00,삭제된 메시지입니다.
85481,wow3j,2023-07-05T21:45:00,삭제된 메시지입니다.
85480,wow3j,2023-07-05T21:45:00,점 점더 가까워지고 있어 거리가 꺄오😆
85478,wow3j,2023-07-05T21:41:00,신혜선님.. 코믹맬로연기  넘나 좋아요
85477,llll.l,2023-07-05T21:13:00,혈중애정농도 풀챠지 ㅎㅎㅎ 지르자 불!!! ㅎㅎ.(활활타오르매)
85476,아프란시,2023-07-05T21:10:00,이정도 거리면 끝을 봐아지!
85473,아프란시,2023-07-05T21:06:00,저도 7화가 무진장 보고픔요
85472,llll.l,2023-07-05T21:00:00,ep5로 정정 ㅎㅎㅎ.(55555!!)
85471,llll.l,2023-07-05T20:58:00,나 오늘 ep7  조지꺼야  말리지마 ㅎㅎㅎ  말리기만해바  ㅎㅎ.(다짐하매)
85470,ghk,2023-07-05T20:54:00,1화 봐볼까 하고 틀었다가 6화까지 다봄
85469,kin,2023-07-05T20:37:00,삭제된 메시지입니다.
85468,kin,2023-07-05T20:34:00,나두 민기 캐릭 알고 싶네여~
85467,wnm,2023-07-05T20:09:00,민기는 대체 뭔가요?
85466,하스돕돕,2023-07-05T20:08:00,엔딩 노래 좋다~ 누가 부른 건지
85465,하스돕돕,2023-07-05T20:04:00,지음이 너무 예쁘다 ♡
85464,하스돕돕,2023-07-05T20:04:00,서하는 왠지 와인 마실 것 같은데~ ㅎ소주 두병
85463,하스돕돕,2023-07-05T20:03:00,화해하는 건 좋은거야~
85462,아프란시,2023-07-05T19:57:00,삭제된 메시지입니다.
85461,노노,2023-07-05T19:52:00,저사람 누구죠? 차 세우고 내리라고
85460,하스돕돕,2023-07-05T19:49:00,저번 생은 타살이 맞았어 ㅜ
85458,블루스카이,2023-07-05T19:48:00,토요일 기다려지내요
85456,블루스카이,2023-07-05T19:47:00,안보현 응원
85455,하스돕돕,2023-07-05T19:45:00,하비서 어리둥절 ~ ㅎ 귀엽다
85454,하스돕돕,2023-07-05T19:44:00,자매가 다들 저돌적 ~ 멋짐
85453,하스돕돕,2023-07-05T19:43:00,Tvn 스토리에서 재방 해주네요~ 연속방송 ♡
85451,아프란시,2023-07-05T19:32:00,맛저 하고 왔습니다.
85450,김루나,2023-07-05T19:27:00,맛저들하세영!
85446,구몽,2023-07-05T19:03:00,윤초원이랑 반지음 캐스팅 너무 찰떡 ㅠㅠ
85445,동경님 에게 답장공식참여자,2023-07-05T18:49:00,"이게 좀 애매한거죠.
원칙적으로 시청률의 의미가 퇴색한 상태이니...
하지만 아직은 시청률=인기도의 기준이 되므로 신경이 쓰일 수 밖에 없는게 아쉽습니다."
85444,아프란시,2023-07-05T18:49:00,삭제된 메시지입니다.
85443,동경,2023-07-05T18:42:00,게다가 요즘 시청자들 플렛폼으로 몰아보기를 선호해서 시청률이 큰의미가 없을 수도 있어요
85442,아프란시,2023-07-05T18:40:00,그쵸 좀 매니악하긴 합니다. ㅎㅎ
85441,동경,2023-07-05T18:39:00,넘버스하고 가슴이 뛴다는 재밌지만 매니아층 정도 일거 같아요
85440,아프란시,2023-07-05T18:37:00,"전 의외로 넘버스 좋더군요. 짜임새가 있어요.
근데 이생잘과 겹쳐서 VOD로 봅니다"
85439,동경,2023-07-05T18:36:00,내기준으로는 이생잘 악귀 이로운 킹더 순으로 재밌던데
85438,동경,2023-07-05T18:34:00,보나하고 곽선영
85437,동경,2023-07-05T18:34:00,이보영 환생 보나 하고 관선영 닮음
85436,abd님 에게 답장공식참여자,2023-07-05T18:30:00,음 취향차를 떠나서 팬덤의 규모가 천문학적으로 큽니다
85435,아프란시,2023-07-05T18:30:00,어제자 전세계 톱10순위에 들어있는 국가는 총 42개국으로 넷플릭스의 순위는 한주 늦기때문에 다음주는 톱10순위 훨씬 올라갈 듯 합니다.
85434,abd,2023-07-05T18:29:00,근데 킹랜이 1위던데... 이해가안가요..정말 진부하고 오글거리던데
85433,아프란시,2023-07-05T18:24:00,현재 톱10  안에 들어있는 국가들
85431,아프란시,2023-07-05T18:20:00,넷플릭스를 보면 한국보다 해외에서 더 많이 보는듯 합니다
85430,(🎀ᴗˬᴗ),2023-07-05T17:59:00,이번주 넷플릭스 비영어권 TV시리즈 통산 5위에 랭크. 누적 시청시간 230만시간
85428,(🎀ᴗˬᴗ),2023-07-05T17:24:00,다시태어나거라
85427,운동중독,2023-07-05T17:22:00,그래서 현생은 모쏠입니다
85426,운동중독,2023-07-05T17:22:00,사실은 저는 전생에.... 의자왕이었어요
85424,아프란시,2023-07-05T17:21:00,오늘의 승자이심 ㅎㅎ
85423,운동중독,2023-07-05T17:21:00,예 마마
85422,아프란시,2023-07-05T17:21:00,앗!
85421,김루나,2023-07-05T17:21:00,문을열어라!!
85420,(🎀ᴗˬᴗ),2023-07-05T17:21:00,알겠느냐
85419,운동중독,2023-07-05T17:21:00,오...대단해요 왕족
85418,김루나,2023-07-05T17:21:00,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아니잌ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
85417,(🎀ᴗˬᴗ),2023-07-05T17:21:00,남부여의 공주 부여주다
85416,운동중독,2023-07-05T17:20:00,그럼 전생에 뭐였어요?
85415,(🎀ᴗˬᴗ),2023-07-05T17:20:00,내 전생은
85414,아프란시,2023-07-05T17:20:00,음..돌맹이가되면 누군가와서 차버릴테니까 그건 싫어요  ㅋㅋ
85413,운동중독,2023-07-05T17:19:00,전생에 돌맹이었죠?
85412,아프란시,2023-07-05T17:19:00,"이런. 제 전생 알려드리려던 참인데...ㅋㅋ
맛저녁 되세요"
85411,운동중독,2023-07-05T17:19:00,루나님 그래도 믿어줘서 너무 고마워요 사랑해요
85410,김루나,2023-07-05T17:18:00,네
85409,운동중독,2023-07-05T17:18:00,그렇다면 당신은 오늘 낚이신 겁니다 ㅅㄱ 밥먹으로 갑니다
